,CareProvider.Integrity.Data,CareProvider.Integrity.Relation,CareProvider.Integrity.Knowledge,PointOfDecision.Display.Human,PointOfDecision.Display.Machine,PointOfDecision.Control.Human,PointOfDecision.Control.Machine,PointOfCare.Sensor.Human,PointOfCare.Sensor.Machine,PointOfCare.Actuator.Human,PointOfCare.Actuator.Machine,MDDS,EMR.Usability.Operability,EMR.Usability.Knowability,EMR.Availibility.Reliability,EMR.Availibility.FaultTolerence,EMR.Integrity.Physical,EMR.Integrity.Data,EMR.Integrity.Relation,EMR.Integrity.Knowledge,HealthCareProcess.Controller.Capital,HealthCareProcess.Controller.Responsiveness,HealthCareProcess.Controller.ClinicalIntegrity,HealthCareProcess.Sensor,HealthCareProcess.Display,HealthCareProcess.Actuator,HealthCareProcess.Control,TechnicalProcess.Controller.Capital,TechnicalProcess.Controller.Responsiveness,TechnicalProcess.Controller.TechnicalIntegrity,TechnicalProcess.Sensor,TechnicalProcess.Actuator
2137052,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,
1521208,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,
2524814,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,
3305468,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
2088203,,2,,2,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
1793598,,,,,1,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,
846169,,,,2,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1051313,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
949037,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,
1456887,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,
2338445,,,,,,1,,,,,,,,1,,,,,,,,,1,,1,1,,,,,,
1750191,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,
686935,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,
574578,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,
1714081,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,
1581692,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,
836857,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,
715963,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,
996685,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,
1580681,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,
911112,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2188692,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2216057,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,
1172391,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,
2713672,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
1183929,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,
976471,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,1,1,
678815,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909816,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
975910,,,,,,,,,,,1,,,,1,,1,,,,,,1,,,,,,,,,
1820857,,,,2,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,
2382485,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
1661614,,,,2,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,
1581694,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,
